Sample,Year,Area,pH,Temperature,logfO2,HCO3-_(input),SiO2_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Fe+2_(input),HS-_(input),rho_(input),redox_(input),redox_(input),redox_(input),Br-,Br3-,BrO-,BrO3-,BrO4-,CO,CO2,CO3-2,Ca(CO3),Ca(HCO3)+,Ca(HSiO3)+,Ca+2,CaCl+,CaCl2,CaF+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,F-,Fe+2,Fe+3,FeCl+,FeCl2,FeF+,FeF+2,FeO,FeO+,FeO2-,FeOH+,FeOH+2,H+,H2,H2N2O2,H2O,H2O2,H2S,HBrO,HCO3-,HCl,HClO,HF,HF2-,HFeO2,HFeO2-,HN2O2-,HNO2,HNO3,HO2-,HS-,HSO3-,HSO4-,HSO5-,HSiO3-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(CO3),Mg(HCO3)+,Mg(HSiO3)+,Mg+2,MgCl+,MgF+,MgOH+,MgSO4,N2,N2O2-2,NH3,NH4+,NO2-,NO3-,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,O2,OCN-,OH-,S2O5-2,S2O6-2,S2O8-2,SO2,SO3-2,SO4-2,SiF6-2,SiO2,akermanite,andradite,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,goethite,halite,hematite,huntite,hydromagnesite,magnesite,magnetite,merwinite,monticellite,nesquehonite,periclase,pyrite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,%CI of mean,%CI of total,Charge imbalance,IS (molal),Mean charge,Sigma(mz) anions,Sigma(mz) cations,Total charge,stoichiometric IS (molal)
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,,flag,value,unit,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality
100119AX,0.0,0.0,7.2,33.8,-6.0,0.0,0.000374571,8.22e-06,0.001152699,0.0,0.000371236,0.0,0.0,4.18e-06,0.001261001,0.0,3.72e-05,0.001272989,0.001064008,0.0,0.0,0.9944386599093277,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,,,,,,-7.8042,-3.1283,-6.3509,-9.7345,-7.5383,-8.3771,-4.6371,-2.976,-22.2319,-34.4823,-33.2697,-36.2927,-5.1323,,,,,,,,,,,,-7.2,-40.2516,,-4.01841e-05,-20.6057,,,,-10.9197,-21.9409,-9.0874,-14.8057,,,,,,-24.9454,,-44.4047,-8.7618,-31.9068,-5.71,-4.4696,,-9.8774,-16.5916,-11.3983,-7.2213,-5.4173,-9.8742,-11.5916,,,-7.4933,-3.0475,-6.1397,-6.8008,-7.211,-4.4335,,,,,,,-2.9384,,-6.6602,-9.0259,-6.9163,-9.6683,-5.8601,-8.9493,,-6.5277,-93.6514,-66.8596,-47.7012,-49.649,-44.469,-3.6568,-37.0456,-3.4291,,,-3.3261800000000004,,,,,-6.16946,,0.23636,-3.92056,-0.50088,-0.14034000000000002,-0.14034000000000002,-0.73292,-6.29461,,-4.16579,-4.77623,,,,,,,,,,,,,,0.60658,-6.57063,,0.06462000000000001,,-7.74125,0.6920000000000001,,,,106.6126,53.3063,0.0040703709076,0.00640313,0.0038179068414999997,-0.0017827213878000001,0.0058530922953000004,0.0076358136831,0.00664943
100119AY,0.0,0.0,7.6,34.0,-6.0,0.0,0.000366025,4.49e-06,0.000758036,0.0,0.000254701,3.89e-06,0.0,4.32e-06,0.000776082,0.0,3.86e-05,0.001122814,0.00095842,0.0,0.0,0.9943714330450536,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,,,,,,-7.447,-3.1596,-6.5602,-10.1241,-7.8276,-7.9998,-4.815,-3.1549,-22.4043,-34.6501,-33.4416,-36.4674,-5.3912,,,,,,,,,,,,-7.6,-40.2201,,-3.11492e-05,-20.5952,,,,-11.4995,-22.5146,-9.7446,-15.721,,,,-9.8868,,-24.5316,,-44.9202,-9.3066,-32.4389,-5.3219,-4.45,,-10.0345,-17.1144,-10.9717,-7.3486,-5.3998,-10.0351,-11.1679,,,-7.1458,-3.088,-6.3589,-7.0997,-6.8444,-4.6205,,,,,-5.4434,,-3.1459,,-7.046,-9.4913,-6.7381,-9.4696,-6.2143,-8.9505,,-6.1216,-94.683,-67.9135,-48.7745,-50.5625,-44.5858,-3.8041,-40.2198,-3.443,,,-3.57614,-9.68285,7.14867,,,-5.08866,,0.2122,-0.72556,-0.52509,-0.16439,-0.16439,-0.75668,-4.16878,,-3.10752,-5.55249,-8.44586,,,,,,,,,,,,,0.5824199999999999,-2.39717,,3.2126099999999997,-2.62315,-6.67334,0.667,,,0.667,121.2397,60.6198,0.0036992435538000003,0.0053067,0.0030511826297,-0.0012015608528,0.0049008044066,0.006102365259500001,0.00546777
140114S,0.0,0.0,7.7,21.0,-6.0,0.004391597,0.0002,0.0,0.00319,1.8e-06,0.000443,2.2e-07,0.000116,5.62e-07,0.0032,3.05e-07,0.000114,0.00201,0.000603,3.58e-07,0.0,0.9980180550378273,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.7895,-30.0009,-21.2238,-36.4155,-57.0185,-48.0607,-3.7512,-5.1077,-5.2363,-4.7999,-8.02,-3.4269,-6.2706,-9.1243,,-8.7522,-4.9288,-2.5431,-22.2416,-34.7973,-33.306,-36.1413,,-16.0221,-17.2113,-18.7218,-29.5024,,,-21.3097,-7.6658,-8.4796,-17.7608,-11.8209,-7.7,-42.3465,-57.3893,-0.000104589,-21.3089,,-20.2938,-2.4308,-10.9215,-22.3516,,,-6.4812,-22.4662,-56.7757,-11.135,-13.0189,-25.3784,,-46.9643,-9.3675,-33.3558,-5.6101,-3.9938,-11.5518,-9.1185,-16.8762,-10.8957,-6.7198,-6.2987,-10.3579,-12.3889,-5.0344,-4.2787,-7.2257,-2.8954,-5.564,,-7.0272,-4.2778,-9.1237,-60.1546,-8.2426,-6.5738,-6.7023,-3.9818,-2.544,-9.7034,-5.87,,-6.2601,-9.1902,-5.4532,-8.8592,-66.8913,-6.443,-98.7425,-70.4634,-50.0094,-52.8345,-46.4599,-3.6107,,-3.7063,,3.5137300000000002,-3.71129,,,-0.27895,-6.85244,-5.47283,-0.08446000000000001,0.17797000000000002,-2.00452,-0.5564,-0.20514000000000002,-0.20514000000000002,-0.81809,-5.59793,2.11337,-3.62966,,-9.45924,7.304860000000001,-8.95862,15.286489999999999,-2.32422,,-0.02833,0.21415,,,-3.4438400000000002,,,0.5482199999999999,-3.8324800000000003,-9.8685,1.7818900000000002,-6.917610000000001,-7.60208,0.696,,0.341,0.45299999999999996,1.2311,0.6155,0.00010149907765,0.0110838,0.0082446016674,-0.0081938521286,0.0082953512063,0.016489203335,0.0116927
120116Q,0.0,0.0,7.7,25.0,-6.0,0.00521696,0.000309412,4.34e-07,0.001280964,2.44e-07,0.000645792,1.41e-07,0.00013386,8.64e-07,0.001001003,2.35e-06,8.07e-05,0.002908044,0.000514,0.0,3.33e-07,0.9970613643068065,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.6577,-32.7328,-22.0264,-37.1537,-57.5663,-47.317,-3.704,-4.9978,-5.1683,-4.8045,-7.8662,-3.5049,-6.73,-10.0131,-9.2395,-8.6446,-4.8523,-2.9398,-22.4961,-34.9539,-33.5522,-36.448,-6.4263,,,,,,,,,,,,-7.7,-41.6745,-56.4156,-8.67066e-05,-21.0826,-7.2968,-21.1429,-2.3582,-11.3414,-22.6392,-10.9531,-17.9993,,,-55.7586,-11.3647,-12.9181,-25.0766,-6.5956,-46.1467,-9.1777,-32.8961,-5.3816,-4.1445,-12.5373,-9.6186,-16.7892,-10.8929,-6.7223,-6.1123,-10.5582,-12.0679,-4.7532,-4.0523,-6.8528,-2.7438,-5.8082,-7.8047,-6.7257,-3.9706,-8.7239,-59.0667,-7.2353,-5.6901,-6.8959,-3.92,-3.0493,-11.0586,-6.761,-10.4672,-6.5901,-9.5605,-5.8058,-8.89,-65.6477,-6.3078,-97.1153,-69.314,-49.2767,-51.9789,-45.662,-3.4672,-46.541,-3.5166,,,-3.6171800000000003,-8.36408,15.731179999999998,-0.20805,-6.0093,-4.97772,-0.011179999999999999,0.33005999999999996,-0.19726,-0.40521,-0.05106,-0.05106,-0.65745,-4.63437,2.63206,-2.95097,-8.6033,-8.25302,,,,-0.896,,0.42017,,,,-3.16812,,,0.70031,-1.03204,,3.91842,-2.85223,-7.310739999999999,0.685,-0.24,0.325,0.45399999999999996,2.1001,1.05,0.00015621323300999998,0.0111338,0.0074383882843,-0.0073602816678,0.0075164949008,0.014876776569000001,0.0120705
140116B,0.0,0.0,7.9,26.5,-6.0,0.00512687,0.000303,0.0,0.00128,8.21e-07,0.000696,4.49e-07,0.00017,4.32e-07,0.00106,2.33e-07,9.54e-05,0.00281,0.000562,8.95e-07,2.5e-07,0.9966628234730802,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.1309,-31.5982,-21.4754,-36.5789,-56.9212,-47.2722,-3.916,-4.7879,-4.9112,-4.7734,-7.6301,-3.4714,-6.6907,-9.986,,-8.3428,-4.7809,-2.9402,-22.4441,-34.8658,-33.4971,-36.4151,,-16.1361,-17.8528,-19.2255,-30.0943,,,-20.6487,-7.6434,-7.7382,-17.5072,-12.1227,-7.9,-41.4266,-56.2943,-8.66247e-05,-20.9993,-7.6147,-20.8088,-2.3615,-11.5498,-22.7991,,,-6.0709,-21.5299,-55.4215,-11.0749,-12.9997,-24.7658,-6.6932,-46.0643,-9.3266,-32.9454,-5.1807,-4.0721,-11.9255,-9.5289,-16.8476,-10.5642,-6.6142,-6.4134,-10.8557,-12.1197,-4.554,-4.0727,-6.6724,-2.7622,-5.8262,,-6.4887,-3.9507,-8.8136,-58.5041,-8.0017,-6.702,-6.393,-3.8163,-3.0247,-10.5001,-6.7326,,-6.384,-9.2865,-5.7441,-8.9009,-65.3382,-6.0584,-96.9537,-69.3285,-49.4446,-52.0819,-45.3874,-3.4338,,-3.5302,,6.97412,-3.52202,-4.32425,44.28389,0.13739,-5.1151,-4.34539,0.33515,0.2735,1.5932600000000001,-0.46211,-0.10687,-0.10687,-0.71086,-3.4195599999999997,3.2770900000000003,-2.36329,,-7.02073,7.6553,,16.03726,0.3535,-8.834430000000001,0.72004,1.46541,,,-2.93342,,34.28654,0.64374,1.12269,,5.60535,1.26494,-6.6811300000000005,0.67,-0.255,0.315,0.428,-0.3153,-0.1577,-2.3510360033000002e-05,0.0111324,0.0074553866162,-0.007467141796199999,0.0074436314362,0.014910773232,0.0120275
100113AP,0.0,0.0,7.9,27.0,-6.0,0.005173618,0.000288049,1.58e-06,0.001431336,0.0,0.000727386,7.69e-07,8.39e-05,6.92e-06,0.001159942,0.0,7.8e-05,0.002679696,0.000581531,0.0,0.0,0.9965253529904974,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,-47.1855,-3.9145,-4.7792,-4.884,-4.7547,-7.6329,-3.4575,-6.6261,-9.8766,-8.6233,-8.3063,-4.7434,-2.8916,-22.3781,-34.7878,-33.4301,-36.3555,-5.8638,,,,,,,,,,,,-7.9,-41.3444,-56.8034,-8.74988e-05,-20.9717,,,-2.3571,-11.5038,-22.7371,-10.5745,-17.05,,,-55.9255,-10.8454,-13.3015,-24.7292,,-45.9597,-9.2986,-32.8843,-5.198,-4.1595,,-9.5618,-16.901,-10.6331,-6.6788,-5.2087,-9.6011,-10.8986,-4.5644,-4.0894,-6.7121,-2.7838,-5.799,-7.28,-6.4921,-3.9487,-9.3927,-58.9997,,,-6.1592,-4.1229,-2.9855,,-6.6434,-9.8328,-6.3685,-9.231,-5.6815,-8.9044,-65.5049,-6.0421,-96.7455,-69.1786,-49.3456,-51.9724,-45.2854,-3.4117,-44.0871,-3.5523,,,-3.4711800000000004,-4.59388,43.22141,0.17305,-5.12515,-4.33795,0.3711,0.23051,1.53186,-0.50521,-0.1496,-0.1496,-0.75279,-3.44425,3.30785,-2.3948400000000003,-7.0709800000000005,-7.040719999999999,,,,0.37625,-8.8539,0.71525,,,,-2.9599900000000003,,,0.6007600000000001,0.8828,,5.461180000000001,1.0716,-6.673439999999999,0.6679999999999999,,,0.41100000000000003,-4.4387,-2.2194,-0.00033178017789999996,0.011071,0.0074747083973,-0.0076405984863000004,0.0073088183084,0.014949416795000002,0.0119687
120126F,0.0,0.0,8.0,31.8,-6.0,0.000277559,0.000456463,9.74e-07,0.000804529,7.87e-07,0.000327,1.25e-05,0.0,5.95e-07,0.001171978,0.0,5.07e-05,0.001419872,0.000379,0.0,0.0,0.9950930412454526,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.137,-31.9714,-21.398,-36.4194,-56.5182,-47.7596,-5.2925,-5.8933,-6.0612,-6.1103,-7.3909,-3.565,-6.9496,-10.4723,-8.9059,-8.1006,-5.1121,-3.1287,-22.4514,-34.748,-33.4934,-36.4881,-6.0555,,,,,,,,,,,,-8.0,-40.5684,,-3.59079e-05,-20.7116,,-20.8882,-3.6105,-11.8639,-22.9462,-10.8272,-17.4759,,,,-9.762,,-24.285,,-45.5554,-9.6176,-32.8906,-4.8561,-4.3313,-12.1468,-9.9149,-17.3336,-10.5305,-7.1187,-6.2603,-10.8761,-11.6968,-5.858,-5.5409,-6.5796,-2.9888,-6.2364,-7.6692,-6.4233,-4.4136,,,,,-4.9361,,-2.9668,-10.4232,-6.8475,-9.986,-6.0671,-8.9588,-5.9261,-8.9368,,-5.7893,-95.948,-68.9317,-49.578,-51.6203,-44.808,-3.6883,-45.6357,-3.3563,,,-3.98947,-0.69434,65.67187,-1.48386,-6.610689999999999,-3.98806,-1.28293,0.38513000000000003,2.91215,-0.35167,0.00742,0.00742,-0.58823,-2.32202,-0.06287000000000001,-1.8518599999999998,-7.9141699999999995,-6.10808,,,,-6.40498,,-0.9976299999999999,,,-9.3701,-4.88265,,,0.75536,3.0958900000000003,,7.1817,5.03857,-6.08605,0.649,,,0.649,95.737,47.8685,0.0030533963159,0.00521525,0.0031893591208999998,-0.001662660963,0.0047160572788999995,0.006378718241899999,0.00542019
090123E,0.0,0.0,8.2,23.9,-6.0,0.004958841,0.000304677,0.0,0.001369854,8.34e-07,0.000747848,0.0,0.0,9.65e-07,0.001084004,0.0,9.11e-05,0.002664472,0.000508982,0.0,0.0,0.9973401214860111,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.1232,-32.0949,-21.5098,-36.6546,-57.1191,-48.0158,-4.2129,-4.5234,-4.7177,-4.8344,-7.4131,-3.5188,-6.7182,-9.9626,,-8.209,-4.7954,-2.9098,-22.5048,-34.9893,-33.5632,-36.4425,,,,,,,,,,,,,-8.2,-41.8577,,-8.38699e-05,-21.1442,,-21.1137,-2.3738,-11.8052,-23.1391,,,,,,,,-24.6586,,-46.7566,-9.6166,-33.4086,-4.9134,-4.0912,-11.9586,-9.5482,-17.1879,-10.3812,-6.5964,-6.0634,-10.4821,-11.5556,-4.3272,-4.1117,-6.4258,-2.7867,-5.8216,,-6.3095,-3.943,,,,,,,-3.0142,-10.494,-6.699,,-6.0725,-9.0621,-5.6994,-8.8818,,-5.8445,-98.3329,-70.4014,-50.2506,-53.0994,-45.7663,-3.3932,,-3.5378,,,-3.5376,0.12793,74.21823,0.40983,-4.20099,-3.75679,0.60605,0.32929,3.45908,-0.40573000000000004,-0.052379999999999996,-0.052379999999999996,-0.66056,-2.14872,3.80975,-1.7395200000000002,,-5.829619999999999,,,,1.39745,-7.167089999999999,0.9797799999999999,,,-9.15813,-2.5608299999999997,,,0.6995399999999999,3.8727,,7.566269999999999,5.76644,-6.03834,0.659,,,,-5.1263,-2.5631,-0.00036939665282,0.010737799999999999,0.0072059521314,-0.0073906504578000005,0.007021253805,0.014411904263,0.011629
140110B,0.0,0.0,8.4,23.5,-6.0,0.003633494,0.000183,0.0,0.00158,1.1e-06,0.000346,3.04e-07,6.25e-05,1.73e-07,0.00131,0.0,4.42e-05,0.00184,0.000485,3.58e-07,3.44e-07,0.9974385943760837,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.9983,-32.1075,-21.3914,-36.5426,-57.0261,-48.4129,-4.5406,-4.4572,-4.6505,-4.9601,-7.4458,-3.5141,-6.648,-9.822,,-8.0228,-5.0919,-2.8427,-22.4518,-34.9461,-33.5111,-36.3844,,-17.4763,-19.5157,-20.4726,-31.4113,,,-21.1916,-8.4487,-7.7159,-18.438,-13.3611,-8.4,-41.9246,-58.7821,-6.90428e-05,-21.1667,-7.9007,-21.1907,-2.5039,-11.9359,-23.2828,,,-6.4776,-21.6136,-57.4411,-11.7122,-13.9577,-24.4886,-6.5204,-47.3239,-10.1213,-33.9403,-4.9505,-4.3989,-12.1447,-9.7935,-18.0052,-10.5042,-7.2047,-6.8045,-11.1571,-12.11,-4.3957,-4.3748,-6.5948,-2.9194,-5.8873,,-6.2571,-4.377,-10.877,-60.0753,,,-6.5568,-4.2449,-2.9261,-10.2828,-6.5448,,-6.0161,-8.7874,-5.9123,-8.8787,-67.2312,-5.6579,-99.4666,-71.4875,-51.2952,-53.8705,-46.1316,-3.6933,,-3.771,,8.6694,-3.9394099999999996,-0.01525,79.71019,0.5022300000000001,-3.95974,-3.4247900000000002,0.6982,0.0231,3.8409,-0.7118399999999999,-0.35877,-0.35877,-0.9676,-1.9085599999999998,3.80134,-1.7168900000000002,,-5.47826,7.21255,-9.96894,15.12442,1.18603,-7.23245,0.8789,0.027760000000000003,,-8.61262,-2.64433,,33.39387,0.39335,3.3729,,7.33316,6.01347,-5.82147,0.648,-0.28600000000000003,,0.396,-1.1484,-0.5742,-6.601376049e-05,0.00824412,0.0057482357611,-0.0057812426414,0.005715228880899999,0.011496471521999998,0.00870945
