A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2024-01-02 10:21 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,25.0000,1.1000,8.0000,7.9996,-0.6695,0.7459,12.6088,1.0000,
B1,1.0000E-08,0.000,25.0000,1.1000,8.0136,8.0133,-0.6695,0.7451,12.5952,1.0000,
B1,1.0000E-07,0.000,25.0000,1.1000,8.1202,8.1197,-0.6695,0.7388,12.4887,1.0000,
B1,1.0000E-06,0.000,25.0000,1.1000,8.6146,8.6134,-0.6695,0.7095,11.9943,1.0000,
B1,8.5984E-06,0.000,25.0000,1.1000,9.3877,9.3844,-0.6695,0.6638,11.2211,1.0000,
B1,1.0000E-05,0.000,25.0000,1.1000,9.3894,9.3861,-0.6695,0.6637,11.2194,1.0000,
B1,2.7961E-05,0.000,25.0000,1.1000,9.4253,9.4218,-0.6695,0.6616,11.1835,1.0000,
B1,1.0000E-04,0.000,25.0000,1.1000,9.7377,9.7326,-0.6695,0.6431,10.8712,1.0000,
B1,3.0044E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,5.4546E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,1.0000E-03,0.000,25.0000,1.1000,10.4352,10.4247,-0.6695,0.6018,10.1736,1.0000,
B1,3.2442E-03,0.000,25.0000,1.1000,10.9356,10.9181,-0.6694,0.5722,9.6733,1.0000,
B1,1.0000E-02,0.000,25.0000,1.1000,10.9356,10.9181,-0.6693,0.5722,9.6733,1.0000,
B1,0.1000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6689,0.5722,9.6735,1.0000,
B1,1.000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6642,0.5723,9.6746,1.0000,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,1.0124E-06,2.7147E-04,5.1622E-07,-1.6874E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-08,0.000,1.000,1.0448E-06,2.7153E-04,5.6540E-07,-1.5224E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-07,0.000,1.000,1.3356E-06,2.7208E-04,1.0087E-06,-3.7735E-09,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-06,0.000,1.000,4.1770E-06,2.7759E-04,5.4564E-06,1.4801E-06,0.0089,0.0089,1000.9657,1.0010,
B2,8.5984E-06,0.000,1.000,2.4947E-05,3.2087E-04,4.2947E-05,1.3959E-05,0.0102,0.0102,1000.9666,1.0010,
B2,1.0000E-05,0.000,1.000,2.5045E-05,3.2149E-04,4.3345E-05,1.4092E-05,0.0103,0.0103,1000.9666,1.0010,
B2,2.7961E-05,0.000,1.000,2.7204E-05,3.3148E-04,5.0343E-05,1.6428E-05,0.0108,0.0108,1000.9670,1.0010,
B2,1.0000E-04,0.000,1.000,5.5999E-05,3.8593E-04,1.0479E-04,3.4576E-05,0.0127,0.0127,1000.9682,1.0010,
B2,3.0044E-04,0.000,1.000,1.5843E-04,5.7942E-04,2.9807E-04,9.8935E-05,0.0191,0.0191,1000.9723,1.0010,
B2,5.4546E-04,0.000,1.000,1.5844E-04,5.7943E-04,2.9808E-04,9.8937E-05,0.0191,0.0191,1000.9723,1.0010,
B2,1.0000E-03,0.000,1.000,2.8312E-04,7.5474E-04,4.7803E-04,1.5879E-04,0.0230,0.0231,1000.9748,1.0010,
B2,3.2442E-03,0.000,1.000,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.0000E-02,0.000,0.9999,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,0.1000,0.000,0.9988,9.1445E-04,1.6812E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.000,0.000,0.9881,9.1446E-04,1.6842E-03,1.4034E-03,4.6568E-04,0.0455,0.0455,1000.9892,1.0009,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Ca,Si,
C1,0.000,0.000,1.0000E-08,1.0000E-18,1.0000E-18,1.0000E-18,
C1,1.0000E-08,0.000,1.0000E-08,1.3200E-08,3.3000E-09,1.3200E-08,
C1,1.0000E-07,0.000,1.0000E-08,1.3200E-07,3.3000E-08,1.3200E-07,
C1,1.0000E-06,0.000,1.0000E-08,1.3200E-06,3.3000E-07,1.3200E-06,
C1,8.5984E-06,0.000,1.0000E-08,1.1348E-05,2.8375E-06,1.1349E-05,
C1,1.0000E-05,0.000,1.0000E-08,1.1017E-05,3.3000E-06,1.1745E-05,
C1,2.7961E-05,0.000,1.0000E-08,7.4147E-06,9.2273E-06,1.7234E-05,
C1,1.0000E-04,0.000,1.0000E-08,1.7950E-06,3.3000E-05,2.4744E-05,
C1,3.0044E-04,0.000,1.0000E-08,2.3981E-07,9.9120E-05,5.1438E-05,
C1,5.4546E-04,0.000,1.0000E-08,2.3981E-07,9.9121E-05,5.1437E-05,
C1,1.0000E-03,0.000,1.0000E-08,1.2520E-07,1.5948E-04,4.2210E-05,
C1,3.2442E-03,0.000,1.0000E-08,3.7812E-08,4.7115E-04,3.0158E-05,
C1,1.0000E-02,0.000,1.0001E-08,3.7812E-08,4.7115E-04,3.0158E-05,
C1,0.1000,0.000,1.0012E-08,3.7812E-08,4.7115E-04,3.0158E-05,
C1,1.000,0.000,1.0120E-08,3.7812E-08,4.7115E-04,3.0158E-05,
C2,EndTable:,C1,
C2,
C2,
C2,Table C2,Dissolved elements(ppm: mg/kg.sol),
C2,Xi,t(days),Cl,Mg,Ca,Si,
C2,0.000,0.000,3.5452E-04,2.4305E-14,4.0080E-14,2.8085E-14,
C2,1.0000E-08,0.000,3.5452E-04,3.2082E-04,1.3226E-04,3.7073E-04,
C2,1.0000E-07,0.000,3.5452E-04,3.2082E-03,1.3226E-03,3.7073E-03,
C2,1.0000E-06,0.000,3.5452E-04,3.2082E-02,1.3226E-02,3.7073E-02,
C2,8.5984E-06,0.000,3.5452E-04,0.2758,0.1137,0.3187,
C2,1.0000E-05,0.000,3.5452E-04,0.2678,0.1323,0.3299,
C2,2.7961E-05,0.000,3.5452E-04,0.1802,0.3698,0.4840,
C2,1.0000E-04,0.000,3.5452E-04,4.3626E-02,1.323,0.6950,
C2,3.0044E-04,0.000,3.5452E-04,5.8286E-03,3.973,1.445,
C2,5.4546E-04,0.000,3.5452E-04,5.8285E-03,3.973,1.445,
C2,1.0000E-03,0.000,3.5452E-04,3.0429E-03,6.392,1.185,
C2,3.2442E-03,0.000,3.5453E-04,9.1898E-04,18.88,0.8470,
C2,1.0000E-02,0.000,3.5456E-04,9.1898E-04,18.88,0.8470,
C2,0.1000,0.000,3.5494E-04,9.1898E-04,18.88,0.8470,
C2,1.000,0.000,3.5878E-04,9.1897E-04,18.88,0.8470,
C3,EndTable:,C2,
C3,
C3,
C3,Table C3,Dissolved elements(molarity),
C3,Xi,t(days),Cl,Mg,Ca,Si,
C3,0.000,0.000,1.0010E-08,1.0010E-18,1.0010E-18,1.0010E-18,
C3,1.0000E-08,0.000,1.0010E-08,1.3213E-08,3.3032E-09,1.3213E-08,
C3,1.0000E-07,0.000,1.0010E-08,1.3213E-07,3.3032E-08,1.3213E-07,
C3,1.0000E-06,0.000,1.0010E-08,1.3213E-06,3.3032E-07,1.3213E-06,
C3,8.5984E-06,0.000,1.0010E-08,1.1359E-05,2.8402E-06,1.1360E-05,
C3,1.0000E-05,0.000,1.0010E-08,1.1028E-05,3.3032E-06,1.1756E-05,
C3,2.7961E-05,0.000,1.0010E-08,7.4218E-06,9.2361E-06,1.7250E-05,
C3,1.0000E-04,0.000,1.0010E-08,1.7967E-06,3.3032E-05,2.4768E-05,
C3,3.0044E-04,0.000,1.0010E-08,2.4004E-07,9.9214E-05,5.1487E-05,
C3,5.4546E-04,0.000,1.0010E-08,2.4004E-07,9.9216E-05,5.1486E-05,
C3,1.0000E-03,0.000,1.0010E-08,1.2532E-07,1.5964E-04,4.2250E-05,
C3,3.2442E-03,0.000,1.0010E-08,3.7848E-08,4.7159E-04,3.0186E-05,
C3,1.0000E-02,0.000,1.0011E-08,3.7848E-08,4.7159E-04,3.0186E-05,
C3,0.1000,0.000,1.0021E-08,3.7848E-08,4.7159E-04,3.0186E-05,
C3,1.000,0.000,1.0130E-08,3.7848E-08,4.7159E-04,3.0187E-05,
C4,EndTable:,C3,
C4,
C4,
C4,Table C4,Dissolved elements(ppm: mg/L),
C4,Xi,t(days),Cl,Mg,Ca,Si,
C4,0.000,0.000,3.5487E-04,2.4328E-14,4.0118E-14,2.8112E-14,
C4,1.0000E-08,0.000,3.5487E-04,3.2113E-04,1.3239E-04,3.7108E-04,
C4,1.0000E-07,0.000,3.5487E-04,3.2113E-03,1.3239E-03,3.7108E-03,
C4,1.0000E-06,0.000,3.5487E-04,3.2113E-02,1.3239E-02,3.7108E-02,
C4,8.5984E-06,0.000,3.5487E-04,0.2761,0.1138,0.3190,
C4,1.0000E-05,0.000,3.5487E-04,0.2680,0.1324,0.3302,
C4,2.7961E-05,0.000,3.5487E-04,0.1804,0.3702,0.4845,
C4,1.0000E-04,0.000,3.5487E-04,4.3668E-02,1.324,0.6956,
C4,3.0044E-04,0.000,3.5487E-04,5.8342E-03,3.977,1.446,
C4,5.4546E-04,0.000,3.5487E-04,5.8341E-03,3.977,1.446,
C4,1.0000E-03,0.000,3.5487E-04,3.0458E-03,6.398,1.187,
C4,3.2442E-03,0.000,3.5488E-04,9.1989E-04,18.90,0.8478,
C4,1.0000E-02,0.000,3.5491E-04,9.1989E-04,18.90,0.8478,
C4,0.1000,0.000,3.5529E-04,9.1989E-04,18.90,0.8478,
C4,1.000,0.000,3.5913E-04,9.1988E-04,18.90,0.8478,
D1,EndTable:,C4,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),Cl-,H+,Mg+2,Ca+2,SiO2,
D1,0.000,0.000,1.0000E-08,-1.0024E-06,1.0000E-18,1.0000E-18,1.0000E-18,
D1,1.0000E-08,0.000,1.0000E-08,-1.0354E-06,1.3200E-08,3.3000E-09,1.3200E-08,
D1,1.0000E-07,0.000,1.0000E-08,-1.3324E-06,1.3200E-07,3.3000E-08,1.3200E-07,
D1,1.0000E-06,0.000,1.0000E-08,-4.3024E-06,1.3200E-06,3.3000E-07,1.3200E-06,
D1,8.5984E-06,0.000,1.0000E-08,-2.9373E-05,1.1348E-05,2.8375E-06,1.1349E-05,
D1,1.0000E-05,0.000,1.0000E-08,-2.9637E-05,1.1017E-05,3.3000E-06,1.1745E-05,
D1,2.7961E-05,0.000,1.0000E-08,-3.4286E-05,7.4147E-06,9.2273E-06,1.7234E-05,
D1,1.0000E-04,0.000,1.0000E-08,-7.0592E-05,1.7950E-06,3.3000E-05,2.4744E-05,
D1,3.0044E-04,0.000,1.0000E-08,-1.9972E-04,2.3981E-07,9.9120E-05,5.1438E-05,
D1,5.4546E-04,0.000,1.0000E-08,-1.9972E-04,2.3981E-07,9.9121E-05,5.1437E-05,
D1,1.0000E-03,0.000,1.0000E-08,-3.2022E-04,1.2520E-07,1.5948E-04,4.2210E-05,
D1,3.2442E-03,0.000,1.0000E-08,-9.4338E-04,3.7812E-08,4.7115E-04,3.0158E-05,
D1,1.0000E-02,0.000,1.0001E-08,-9.4338E-04,3.7812E-08,4.7115E-04,3.0158E-05,
D1,0.1000,0.000,1.0012E-08,-9.4338E-04,3.7812E-08,4.7115E-04,3.0158E-05,
D1,1.000,0.000,1.0120E-08,-9.4338E-04,3.7812E-08,4.7115E-04,3.0158E-05,
D2,EndTable:,D1,
D2,
D2,
D2,Table D2,Solute basis species(total ppm: mg/kg.sol),
D2,Xi,t(days),Cl-,H+,Mg+2,Ca+2,SiO2,
D2,0.000,0.000,0.0004,-0.0010,0.0000,0.0000,0.0000,
D2,1.0000E-08,0.000,0.0004,-0.0010,0.0003,0.0001,0.0008,
D2,1.0000E-07,0.000,0.0004,-0.0013,0.0032,0.0013,0.0079,
D2,1.0000E-06,0.000,0.0004,-0.0043,0.0321,0.0132,0.0793,
D2,8.5984E-06,0.000,0.0004,-0.0296,0.2758,0.1137,0.6819,
D2,1.0000E-05,0.000,0.0004,-0.0299,0.2678,0.1323,0.7057,
D2,2.7961E-05,0.000,0.0004,-0.0346,0.1802,0.3698,1.0355,
D2,1.0000E-04,0.000,0.0004,-0.0712,0.0436,1.3226,1.4867,
D2,3.0044E-04,0.000,0.0004,-0.2013,0.0058,3.9726,3.0905,
D2,5.4546E-04,0.000,0.0004,-0.2013,0.0058,3.9727,3.0905,
D2,1.0000E-03,0.000,0.0004,-0.3228,0.0030,6.3920,2.5361,
D2,3.2442E-03,0.000,0.0004,-0.9508,0.0009,18.8828,1.8119,
D2,1.0000E-02,0.000,0.0004,-0.9508,0.0009,18.8828,1.8119,
D2,0.1000,0.000,0.0004,-0.9508,0.0009,18.8828,1.8119,
D2,1.000,0.000,0.0004,-0.9508,0.0009,18.8826,1.8119,
D3,EndTable:,D2,
D3,
D3,
D3,Table D3,Solute basis species(total molarity),
D3,Xi,t(days),Cl-,H+,Mg+2,Ca+2,SiO2,
D3,0.000,0.000,1.0010E-08,-1.0034E-06,1.0010E-18,1.0010E-18,1.0010E-18,
D3,1.0000E-08,0.000,1.0010E-08,-1.0364E-06,1.3213E-08,3.3032E-09,1.3213E-08,
D3,1.0000E-07,0.000,1.0010E-08,-1.3337E-06,1.3213E-07,3.3032E-08,1.3213E-07,
D3,1.0000E-06,0.000,1.0010E-08,-4.3065E-06,1.3213E-06,3.3032E-07,1.3213E-06,
D3,8.5984E-06,0.000,1.0010E-08,-2.9402E-05,1.1359E-05,2.8402E-06,1.1360E-05,
D3,1.0000E-05,0.000,1.0010E-08,-2.9665E-05,1.1028E-05,3.3032E-06,1.1756E-05,
D3,2.7961E-05,0.000,1.0010E-08,-3.4319E-05,7.4218E-06,9.2361E-06,1.7250E-05,
